label,PC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b11/b7,b11/b9,b7/b6,b12-b6,b12/b6,0.01*b12/b8,(b12-b2)/b8,b9/b8
1,16.1032709,0.0071803,0.0086641,0.0118559,0.0180514,0.0207288,0.0288233,0.0245663,0.021147,0.0199659,0.0200458,0.0233038,0.011564,0.0123601,0.0113762,0.0064134,0.0053193,0.0013,0.9486113,1.1671807,0.8523059,-0.0172593,0.4012029,0.0054684,0.1371299,0.9441512
1,16.9084345,0.0042133,0.0048263,0.0068568,0.0124674,0.0155082,0.0251481,0.0192011,0.0147975,0.0129017,0.0132122,0.0224217,0.0112575,0.011625,0.0108458,0.0059927,0.0050491,0.0016,1.1677307,1.7378865,0.7635223,-0.0138906,0.4476472,0.0076077,0.4346092,0.8718845
1,20.0037453,0.0061114,0.0040858,0.0044625,0.0085199,0.0110449,0.0246599,0.0124823,0.0084474,0.0065685,0.0063737,0.0148651,0.0031199,0.0039365,0.0026994,-0.000498,-0.0011053,-0.0024589,1.1908909,2.2630927,0.5061788,-0.02154,0.1265178,0.0036933,-0.1143341,0.7775717
1,20.3666667,0.0029551,0.0034894,0.0067533,0.0101541,0.0125374,0.0205381,0.018983,0.0154031,0.0146777,0.0147174,0.0162309,0.0197196,0.0215332,0.0190864,0.0176688,0.0171447,0.024555,0.8550257,1.1058254,0.9242789,-0.0008186,0.9601443,0.0128024,1.0536972,0.9529043
1,22.04,0.001777,0.0019514,0.004988,0.0081786,0.0101859,0.0186155,0.01652,0.0128746,0.0122523,0.0122237,0.0157945,0.0237598,0.0257514,0.0227093,0.0192708,0.0182791,0.024064,0.9560868,1.2891119,0.8874325,0.0051443,1.2763442,0.0184547,1.693903,0.9516588
1,22.6,0.0105156,0.0097497,0.0109772,0.017485,0.0219852,0.0370147,0.0233818,0.0183686,0.0155366,0.0152595,0.0229302,0.0069461,0.007382,0.0066868,0.0028171,0.0020194,0.000238,0.980688,1.4758895,0.631689,-0.0300686,0.1876583,0.0037815,-0.1526281,0.8458237
1,22.8934592,0.0031552,0.0019046,0.002173,0.0059089,0.0084609,0.0218682,0.0108892,0.0065482,0.0046259,0.0047169,0.015383,0.0033217,0.0042447,0.0029818,-0.00077,-0.0014521,-0.0030261,1.4126778,3.3254377,0.4979479,-0.0185465,0.1518953,0.0050727,0.2164086,0.7064295
1,24.28,0.0019562,0.0025564,0.0052633,0.0083314,0.0107771,0.0181492,0.0163267,0.0129163,0.0122249,0.0121235,0.0132094,0.0153324,0.0171027,0.0144376,0.0118639,0.0109925,0.0184728,0.8090713,1.0805332,0.8995819,-0.0028168,0.8447986,0.0118706,0.9891394,0.946476
1,24.5,0.0098235,0.0088601,0.0101221,0.0169175,0.0215135,0.0367787,0.0227566,0.017562,0.0149818,0.014971,0.0221215,0.006383,0.0068248,0.0062446,0.0025793,0.001777,0.000006,0.9720903,1.4765606,0.618745,-0.0303957,0.1735526,0.0036346,-0.1410435,0.8530773
1,24.5333333,0.0023771,0.0021423,0.0033131,0.0052736,0.0063144,0.0118951,0.0070822,0.0050164,0.004307,0.0042353,0.0052778,0.0036072,0.0036976,0.0033163,0.0024225,0.0021757,0.0038417,0.7452239,1.2254209,0.5953893,-0.0082879,0.303252,0.0071909,0.2920246,0.8585813
