,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49
19-Oct,35.745956,26.715542,57.063934,39.004707,83.534294,28.491503,38.519806,55.61058,73.03181,23.113039,27.235577,40.32726,33.633064,25.417864,67.33639,31.656607,29.763653,46.095364,11.021896,37.997723,46.91315,37.36536,30.858849,33.095234,25.463417,25.01074,29.613497,81.620514,26.643543,184.73816,33.07107,16.373226,59.525646,39.843983,25.748125,51.11587,27.555468,0,29.084867,46.15922,27.906105,24.50602,29.989517,234.76132,21.807217,29.690655,82.86505,20.184103,63.015327,31.995226
19-Nov,31.531916,34.831177,47.64545,33.187305,98.97699,36.771793,34.37892,53.7078,86.85625,56.270947,42.096394,47.801193,36.939346,44.53458,61.504257,41.61822,52.37828,57.758358,34.37013,68.55595,83.801414,62.372864,54.49264,61.586796,34.378212,81.5804,33.145752,139.0962,45.59499,116.19749,39.11933,32.569794,65.42403,57.725964,50.74838,36.205967,47.60223,0,38.382854,76.970436,28.178818,61.492973,46.092182,72.09139,24.486633,139.6682,56.43551,28.869122,44.91894,35.71321
20-May,26.02911,40.174614,40.322395,26.239779,30.984629,31.684116,68.5535,58.31983,47.760456,43.940502,65.44709,66.53704,61.972343,45.715187,55.216797,44.084633,39.999744,52.798237,20.843584,83.02443,53.058,104.539795,32.60751,19.163046,28.025064,54.367622,29.82312,200.3083,38.84756,178.98682,24.47332,29.550772,100.768456,87.826805,55.606472,51.115997,81.459175,30.761696,92.432396,41.703293,58.902607,32.11495,38.7901,214.52467,80.83123,62.599274,75.98677,53.907757,72.54142,92.299515
20-Jun,25.65033,31.238747,76.775246,46.345413,38.8818,20.068104,95.19734,82.30072,77.57408,54.377316,43.399143,117.80596,112.41915,93.98095,66.87791,38.444,29.011154,51.782314,22.651175,98.39931,51.875042,120.92579,41.864307,20.671417,27.371603,46.992527,34.215122,164.74606,43.32481,169.94005,41.45825,21.0149,124.578964,66.1049,110.13677,52.91254,49.034443,100.69738,93.06156,31.634314,32.949757,23.694551,31.296581,143.56052,69.23152,75.05485,81.01682,32.649197,49.262897,61.074635
20-Jul,21.95773,26.74601,32.359573,29.922325,119.83046,18.95441,60.72388,56.695972,92.86902,44.218224,43.85364,135.59708,117.170815,45.531467,29.919344,33.717476,59.040752,33.71484,28.47529,57.220116,34.036022,116.357704,59.97518,22.09891,21.862719,80.364494,32.308723,75.94768,37.39745,134.11327,25.05311,15.778336,93.04671,64.07358,28.935839,74.1326,87.4997,0,111.61689,45.974373,43.56534,26.260307,22.906456,127.11746,45.865494,61.013702,47.087494,28.087904,27.861206,79.55418
20-Aug,28.437866,20.074736,28.274744,53.01378,119.11662,21.61763,53.197502,86.65944,61.034554,44.086937,52.9708,107.12876,72.648766,59.275856,60.28836,45.720627,80.77517,48.488476,24.848186,65.99171,16.6201,109.33668,61.618755,36.083218,40.25988,31.679188,29.002241,57.30924,41.88787,152.8883,22.179043,17.731972,130.33382,43.712585,49.63198,43.680637,96.27019,0,97.22984,26.814293,46.831512,29.431906,36.912693,175.80406,23.03381,25.088463,61.51867,36.502483,34.491436,56.285233
20-Sep,73.08035,29.626202,77.086235,55.71065,152.52422,34.415825,39.99284,85.46921,39.094097,41.004288,41.599285,50.310863,73.685905,110.85773,45.54855,81.630226,82.95666,54.033173,53.914074,41.270718,78.196014,21.909021,28.954784,36.107018,30.042747,27.497328,30.188564,82.13671,39.440727,163.00844,22.992052,27.231848,35.427578,60.571533,26.578365,47.107964,63.129818,0,52.333115,30.17832,37.51591,19.72423,34.293114,287.62698,37.46286,51.77398,73.392395,64.9052,45.458485,29.13062
20-Oct,39.361416,21.7926,35.038273,20.83972,137.30872,23.30267,40.661915,60.69806,77.88661,31.052982,34.972942,36.01235,41.177185,46.61411,48.443336,35.773975,44.509716,58.856934,14.677192,57.738495,33.998375,47.140747,18.463423,36.505024,34.646217,18.165905,27.13732,86.16131,30.307005,146.66129,26.245392,17.45501,50.484127,47.727448,34.985535,31.177652,49.72423,0,45.272865,36.400356,23.949358,35.01461,28.492365,314.30392,24.422947,46.927917,63.844086,26.069252,50.251312,53.10464
20-Nov,38.39504,39.966652,31.340612,36.714325,157.91444,34.837482,23.223333,65.511086,93.294426,66.85853,32.99705,34.335587,41.55131,48.488888,51.962044,38.32959,68.49332,48.19103,64.33478,66.27136,44.44204,40.501022,17.878578,68.24391,46.01051,55.70017,32.34954,168.73659,35.77189,142.08296,22.286064,53.421444,57.75008,54.034824,29.845676,53.385487,47.291016,0,34.65923,90.60946,42.611183,60.85373,48.916035,309.7342,57.530052,85.11899,57.29675,43.746716,75.13042,78.85828
21-May,47.347137,46.31162,49.217823,40.64378,70.53561,45.155994,78.3872,63.27173,45.04421,62.149265,54.114944,92.540535,104.266365,35.985275,50.717678,32.29073,49.50547,86.55807,20.050377,107.062416,116.39375,104.488205,26.53234,32.672615,24.91661,101.93556,29.306255,123.85179,39.37156,182.87332,23.276253,31.79602,102.96259,100.48885,64.044014,56.023415,52.67915,40.33495,84.427216,55.749023,54.03229,32.395523,31.20563,284.3442,48.633602,76.393684,129.4067,29.687231,78.418846,112.52831
